kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
iomap_v1,8G,read,1M,20250808-205429,2738.0,2737.0,354.55,594.0,4.02,75.34
vanila,8G,write,1G,20250808-213447,340.0,0.0,,1485000.0,2.35,86.0
iomap_v1_patch,8G,write,10M,20250812-181856,2373.0,237.0,3367.41,4621.0,23.56,75.52
vanila,8G,read,4k,20250808-212648,439.0,112000.0,7.21,180.0,43.92,43.92
vanila,8G,write,1G,20250808-213516,312.0,0.0,,1670000.0,3.08,87.44
iomap_v1_hole,8G,read,1M,20250809-101321,2094.0,2094.0,467.79,668.0,6.75,90.39
iomap_v1_hole,8G,read,10M,20250809-101430,2082.0,208.0,4746.36,5669.0,0.61,97.34
vanila,8G,write,1M,20250808-213241,389.0,389.0,1206.17,1467.0,1.94,88.48
iomap_v1_hole,8G,read,10M,20250809-101509,1717.0,171.0,5751.15,8586.0,1.52,95.96
vanila_hole,8G,read,10M,20250809-071233,751.0,75.0,13261.91,25560.0,0.74,98.31
iomap_v1_hole,8G,read,10M,20250809-101434,2020.0,201.0,4901.76,5735.0,2.18,95.45
iomap_v1_patch,8G,write,1M,20250812-184155,328.0,327.0,324.61,545.0,2.02,12.69
vanila,8G,read,128k,20250808-212747,610.0,4876.0,196.07,603.0,4.47,74.57
iomap_v1_hole,8G,read,1M,20250809-101416,2322.0,2321.0,422.96,570.0,5.68,92.5
vanila,8G,read,10M,20250808-212532,1013.0,101.0,9812.03,11338.0,0.5,94.93
iomap_v1_hole,8G,read,1M,20250809-101341,2338.0,2337.0,419.6,570.0,3.2,95.42
iomap_v1_patch,8G,write,1G,20250812-181942,2333.0,2.0,,359000.0,17.58,81.51
iomap_v1_hole,8G,read,1M,20250809-101304,2393.0,2392.0,409.84,578.0,3.98,94.15
iomap_v1_hole,8G,read,10M,20250809-101519,2024.0,202.0,4892.77,5997.0,0.4,101.39
iomap_v1,8G,read,1G,20250808-205513,2008.0,1.0,,506000.0,0.39,93.52
vanila,8G,write,128k,20250808-213628,354.0,2831.0,166.84,322.0,2.63,86.55
iomap_v1,8G,read,100M,20250808-205459,2899.0,28.0,34112.49,58983.0,0.87,88.12
vanila,8G,read,1M,20250808-212505,978.0,978.0,1007.56,1893.0,2.58,87.58
iomap_v1_patch,8G,write,10M,20250812-181858,2543.0,254.0,3344.24,5080.0,10.62,88.15
iomap_v1,8G,read,10M,20250808-205438,3333.0,333.0,2952.31,3458.0,3.93,85.57
vanila_hole,8G,read,100M,20250809-071324,747.0,7.0,133290.0,186000.0,0.37,98.88
vanila_hole,8G,read,1G,20250809-071405,658.0,0.0,,1552000.0,0.39,98.59
iomap_v1,8G,read,100M,20250808-205453,3356.0,33.0,29510.38,53740.0,1.01,88.26
iomap_v1_hole,8G,read,1M,20250809-101403,2281.0,2280.0,429.5,562.0,2.9,95.09
iomap_v1,8G,read,1G,20250808-205511,1907.0,1.0,,535000.0,0.93,92.72
iomap_v1_patch,8G,write,1G,20250813-103710,2333.0,2.0,,342000.0,19.86,78.31
vanila_hole,8G,read,1G,20250809-071409,661.0,0.0,,1552000.0,0.0,99.29
vanila,8G,read,128k,20250808-212758,688.0,5501.0,175.88,506.0,3.49,75.4
iomap_v1,8G,read,4k,20250808-205553,575.0,147000.0,5.02,69.0,55.79,27.36
iomap_v1,8G,read,10M,20250808-205437,3129.0,312.0,3132.14,3589.0,3.07,83.44
vanila_hole,8G,read,1M,20250809-071111,743.0,743.0,1334.5,1680.0,1.67,95.65
vanila,8G,write,10M,20250808-213321,480.0,48.0,12313.31,13042.0,1.79,82.16
vanila,8G,read,1M,20250808-212512,978.0,978.0,1007.83,1237.0,3.06,88.24
iomap_v1_patch,8G,write,4k,20250812-181951,425.0,109000.0,7.65,11.0,77.11,21.73
iomap_v1,8G,read,100M,20250808-205507,2494.0,24.0,39623.72,83362.0,2.74,82.29
iomap_v1_hole,8G,read,1M,20250809-101253,2450.0,2449.0,400.71,519.0,5.5,93.06
iomap_v1_patch,8G,write,1M,20250812-181841,4063.0,4063.0,221.77,310.0,18.73,80.08
vanila_hole,8G,read,1M,20250809-071124,769.0,768.0,1291.13,2057.0,1.65,96.99
vanila,8G,write,1M,20250808-213257,399.0,398.0,1279.58,1549.0,0.82,75.19
vanila_hole,8G,read,100M,20250809-071315,652.0,6.0,153080.0,296000.0,0.2,98.44
iomap_v1_patch,8G,write,1G,20250812-181933,2260.0,2.0,,359000.0,20.58,78.98
iomap_v1,8G,read,10M,20250808-205445,3178.0,317.0,3107.99,3884.0,0.62,84.11
vanila,8G,read,100M,20250808-212545,953.0,9.0,104560.0,174000.0,0.57,88.75
iomap_v1_hole,8G,read,10M,20250809-101500,1921.0,192.0,5144.89,6915.0,0.57,96.6
vanila,8G,read,1M,20250808-212508,985.0,984.0,1001.75,1254.0,2.5,89.12
iomap_v1_hole,8G,read,4k,20250809-103846,766.0,196000.0,3.74,65.0,72.25,26.55
iomap_v1_hole,8G,read,10M,20250809-101730,1988.0,198.0,4979.68,6325.0,1.17,96.48
iomap_v1_hole,8G,read,10M,20250809-101531,1777.0,177.0,5562.84,6849.0,2.44,96.51
iomap_v1_hole,8G,read,1M,20250809-101353,2207.0,2206.0,444.34,635.0,4.1,94.17
vanila_hole,8G,read,10M,20250809-071259,750.0,75.0,13282.26,21103.0,0.15,98.6
vanila,8G,write,4k,20250808-213534,211.0,54000.0,11.63,26.0,32.59,63.95
iomap_v1_hole,8G,read,10M,20250809-101722,2156.0,215.0,4593.21,5342.0,0.21,97.46
iomap_v1_patch,8G,write,1M,20250812-181847,4047.0,4047.0,220.77,297.0,19.05,79.37
iomap_v1,8G,read,100M,20250808-205452,3257.0,32.0,30356.09,53216.0,0.0,89.22
vanila,8G,read,4k,20250808-212723,438.0,112000.0,7.24,174.0,45.58,42.37
iomap_v1_patch,8G,write,1G,20250812-181940,1710.0,1.0,,485000.0,18.56,80.6
iomap_v1_patch,8G,write,4k,20250812-181825,435.0,111000.0,7.57,18.0,79.63,19.31
vanila,8G,write,100M,20250808-213350,330.0,3.0,154620.0,201000.0,2.81,89.01
iomap_v1_hole,8G,read,4k,20250809-103824,751.0,192000.0,3.94,65.0,70.41,28.27
iomap_v1_hole,8G,read,1M,20250809-101414,2398.0,2398.0,404.49,603.0,2.58,95.31
iomap_v1_hole,8G,read,1M,20250809-101329,2291.0,2290.0,427.7,594.0,6.5,91.93
vanila,8G,read,128k,20250808-212734,739.0,5914.0,163.26,478.0,3.83,75.36
iomap_v1_patch,8G,write,128k,20250812-182026,3230.0,25800.0,34.31,59.0,15.46,82.33
vanila_hole,8G,read,1M,20250809-071130,738.0,737.0,1345.46,2409.0,0.29,98.63
iomap_v1_hole,8G,read,100M,20250809-101754,1808.0,18.0,54913.62,90702.0,0.18,97.64
vanila,8G,write,100M,20250808-213426,346.0,3.0,139540.0,142000.0,3.18,88.25
iomap_v1_hole,8G,read,10M,20250809-101521,2237.0,223.0,4418.42,4948.0,3.08,97.8
vanila_hole,8G,read,1G,20250809-071352,684.0,0.0,,1502000.0,0.4,98.6
iomap_v1,8G,read,4k,20250808-205544,633.0,162000.0,4.61,65.0,50.31,33.42
iomap_v1_patch,8G,write,1G,20250812-184202,1910.0,1.0,,414000.0,20.19,78.5
iomap_v1_hole,8G,read,100M,20250809-101752,1689.0,16.0,58820.0,104000.0,0.85,96.62
vanila,8G,write,10M,20250808-213309,527.0,52.0,12784.93,13304.0,2.22,92.56
iomap_v1_hole,8G,read,1M,20250809-101337,2221.0,2221.0,441.71,709.0,3.69,94.14
iomap_v1,8G,read,4k,20250808-205532,616.0,158000.0,4.45,65.0,57.88,25.27
iomap_v1,8G,read,1G,20250808-205523,2147.0,2.0,,477000.0,0.21,94.13
iomap_v1_hole,8G,read,1M,20250809-101707,2393.0,2392.0,410.51,562.0,0.7,97.43
iomap_v1_patch,8G,write,4k,20250812-181944,406.0,104000.0,7.92,11.0,70.29,28.65
iomap_v1_hole,8G,read,10M,20250809-101525,2103.0,210.0,4706.07,5669.0,2.06,97.94
vanila,8G,read,10M,20250808-212539,899.0,89.0,11044.88,15008.0,0.09,94.8
vanila,8G,write,10M,20250808-213341,325.0,32.0,12705.71,14615.0,1.59,85.12
iomap_v1_hole,8G,read,1M,20250809-101411,2381.0,2381.0,411.55,537.0,6.76,91.14
iomap_v1_hole,8G,read,10M,20250809-101436,2052.0,205.0,4824.71,14353.0,2.01,96.58
iomap_v1_patch,8G,write,1M,20250812-181851,3425.0,3424.0,253.52,408.0,12.75,84.56
vanila,8G,write,128k,20250808-213659,464.0,3715.0,167.32,322.0,3.4,91.7
iomap_v1_hole,8G,read,1M,20250809-101257,2327.0,2327.0,419.69,676.0,7.05,90.45
vanila,8G,write,10M,20250808-213332,365.0,36.0,13851.02,15664.0,2.62,89.5
iomap_v1,8G,read,4k,20250808-205535,629.0,161000.0,4.55,67.0,51.63,31.18
vanila_hole,8G,read,128k,20250809-071451,783.0,6262.0,157.34,449.0,1.99,96.94
iomap_v1_patch,8G,write,10M,20250812-181854,2739.0,273.0,3127.89,3392.0,16.8,81.87
iomap_v1,8G,read,10M,20250808-205440,3148.0,314.0,3129.55,4883.0,1.86,87.0
iomap_v1,8G,read,1M,20250808-205421,2829.0,2828.0,342.9,644.0,9.67,64.09
iomap_v1_hole,8G,read,1M,20250809-101259,2554.0,2553.0,383.28,494.0,6.5,92.0
vanila,8G,read,1M,20250808-212457,1000.0,1000.0,980.25,1270.0,1.86,89.25
iomap_v1_patch,8G,write,100M,20250812-181909,2517.0,25.0,32108.81,35390.0,16.97,81.65
iomap_v1_patch,8G,write,1M,20250812-181844,4180.0,4179.0,216.07,302.0,9.43,88.52
iomap_v1_patch,8G,write,1G,20250812-181938,1724.0,1.0,,485000.0,17.37,79.6
iomap_v1,8G,read,100M,20250808-205457,3049.0,30.0,32441.31,55837.0,0.61,86.85
iomap_v1_hole,8G,read,10M,20250809-101438,1932.0,193.0,5123.03,6456.0,1.14,97.34
iomap_v1,8G,read,1G,20250808-205517,1947.0,1.0,,523000.0,1.9,92.57
iomap_v1_hole,8G,read,1M,20250809-101422,2236.0,2235.0,439.04,611.0,4.16,93.65
vanila,8G,write,4k,20250808-213558,210.0,53800.0,11.0,23.0,37.74,56.39
iomap_v1_hole,8G,read,1G,20250809-101821,1349.0,1.0,,760000.0,0.26,98.15
vanila,8G,write,1M,20250808-213253,386.0,385.0,1173.3,1434.0,0.98,86.7
iomap_v1_hole,8G,read,4k,20250809-103833,823.0,211000.0,3.52,61.0,71.3,27.49
iomap_v1,8G,read,1G,20250808-205509,1654.0,1.0,,617000.0,0.0,92.56
iomap_v1_hole,8G,read,1M,20250809-101255,2444.0,2443.0,402.07,523.0,7.66,90.43
vanila,8G,write,1G,20250808-213452,331.0,0.0,,1620000.0,2.1,89.41
iomap_v1_hole,8G,read,1M,20250809-101325,2216.0,2216.0,443.17,644.0,3.04,94.58
vanila_hole,8G,read,128k,20250809-071506,779.0,6229.0,158.19,453.0,5.86,93.38
iomap_v1,8G,read,128k,20250808-205611,1326.0,10600.0,90.44,322.0,5.32,41.25
iomap_v1_patch,8G,write,1M,20250812-181852,4112.0,4112.0,214.75,302.0,5.65,92.74
iomap_v1_patch,8G,write,10M,20250812-181853,3640.0,363.0,2472.96,3228.0,8.48,88.69
iomap_v1_patch,8G,write,100M,20250812-181908,2472.0,24.0,32490.22,39060.0,19.33,79.1
vanila_hole,8G,read,1G,20250809-071336,258.0,0.0,,3977000.0,0.23,98.74
iomap_v1_hole,8G,read,10M,20250809-101444,1878.0,187.0,5257.57,7373.0,1.11,96.86
iomap_v1_hole,8G,read,1M,20250809-101412,2387.0,2386.0,411.05,529.0,0.0,97.9
vanila_hole,8G,read,1M,20250809-071121,747.0,747.0,1329.35,1811.0,0.44,98.25
iomap_v1,8G,read,1M,20250808-205425,2844.0,2844.0,335.33,594.0,4.74,73.54
iomap_v1_patch,8G,write,100M,20250813-103625,1463.0,14.0,53010.0,228000.0,10.9,78.86
iomap_v1_hole,8G,read,10M,20250809-101456,2036.0,203.0,4857.73,5604.0,2.0,96.6
iomap_v1,8G,read,4k,20250808-205541,572.0,147000.0,4.77,67.0,59.2,24.59
vanila_hole,8G,read,4k,20250809-071412,488.0,125000.0,6.67,245.0,45.78,53.64
iomap_v1_hole,8G,read,1M,20250809-101306,2409.0,2409.0,406.99,515.0,1.65,94.34
iomap_v1_hole,8G,read,10M,20250809-101513,1838.0,183.0,5361.83,7046.0,1.08,96.76
iomap_v1_hole,8G,read,1G,20250809-101802,788.0,0.0,,1301000.0,0.15,98.54
iomap_v1,8G,read,1G,20250808-205515,1842.0,1.0,,550000.0,0.36,93.53
iomap_v1_patch,8G,write,10M,20250812-181900,2845.0,284.0,2896.78,3621.0,16.57,82.32
vanila,8G,read,1G,20250808-212635,829.0,0.0,,1234000.0,0.16,96.19
iomap_v1_hole,8G,read,1M,20250809-101303,2498.0,2497.0,391.19,494.0,5.13,94.13
vanila_hole,8G,read,128k,20250809-071503,794.0,6350.0,155.32,441.0,5.35,93.64
iomap_v1_patch,8G,write,1G,20250812-183831,2432.0,2.0,,347000.0,15.2,83.61
vanila,8G,write,128k,20250808-213633,344.0,2754.0,175.48,326.0,2.12,86.11
vanila,8G,read,1G,20250808-212622,859.0,0.0,,1183000.0,0.67,95.47
iomap_v1_hole,8G,read,1M,20250809-101301,2467.0,2467.0,396.9,553.0,2.17,95.65
vanila_hole,8G,read,1G,20250809-071349,670.0,0.0,,1519000.0,0.26,98.49
iomap_v1_hole,8G,read,100M,20250809-101742,1805.0,18.0,55029.35,79168.0,0.54,97.65
vanila,8G,write,1M,20250808-213249,385.0,385.0,1162.26,1385.0,1.77,85.1
iomap_v1,8G,read,1M,20250808-205417,1698.0,1698.0,577.43,1631.0,2.82,43.95
vanila,8G,write,10M,20250808-213337,361.0,36.0,12761.23,13829.0,1.28,86.49
iomap_v1_hole,8G,read,1M,20250809-101357,2276.0,2275.0,432.2,586.0,2.22,96.0
vanila,8G,write,1M,20250808-213229,385.0,385.0,1298.49,1549.0,3.05,89.73
vanila,8G,write,128k,20250808-213642,526.0,4211.0,164.61,318.0,2.98,96.09
vanila_hole,8G,read,10M,20250809-071246,715.0,71.0,13945.58,23200.0,0.77,97.76
iomap_v1_hole,8G,read,1M,20250809-101351,2008.0,2007.0,459.44,734.0,11.79,85.46
iomap_v1_patch,8G,write,100M,20250812-181914,2570.0,25.0,31573.2,34866.0,17.52,81.07
vanila_hole,8G,read,1M,20250809-095225,730.0,730.0,1351.62,5342.0,1.5,93.51
vanila,8G,read,1G,20250808-212628,850.0,0.0,,1200000.0,0.17,96.01
vanila,8G,read,1M,20250808-212503,1043.0,1042.0,948.62,1287.0,1.12,90.53
vanila,8G,read,128k,20250808-212754,606.0,4850.0,198.81,652.0,5.63,73.1
vanila,8G,read,100M,20250808-212606,1007.0,10.0,98900.0,122000.0,0.2,95.36
vanila,8G,read,4k,20250808-212701,427.0,109000.0,7.24,174.0,42.86,45.45
vanila_hole,8G,read,100M,20250809-071305,678.0,6.0,147130.0,271000.0,0.07,98.64
iomap_v1_hole,8G,read,1M,20250809-101323,2327.0,2327.0,420.0,570.0,6.36,91.59
iomap_v1,8G,read,128k,20250808-205602,1418.0,11300.0,84.19,293.0,5.41,43.97
iomap_v1_patch,8G,write,128k,20250812-182027,3190.0,25500.0,35.28,74.0,26.25,72.19
vanila,8G,read,128k,20250808-212750,693.0,5546.0,173.52,515.0,5.08,74.07
vanila_hole,8G,read,100M,20250809-071327,750.0,7.0,133050.0,182000.0,0.15,98.95
iomap_v1_patch,8G,write,4k,20250812-182012,415.0,106000.0,7.75,12.0,77.44,21.38
vanila,8G,read,1G,20250808-212641,822.0,0.0,,1250000.0,0.0,96.14
iomap_v1_hole,8G,read,1M,20250809-101720,2404.0,2403.0,408.06,578.0,1.41,97.18
iomap_v1_hole,8G,read,1G,20250809-101805,1476.0,1.0,,693000.0,0.0,98.27
iomap_v1_hole,8G,read,10M,20250809-101529,2090.0,209.0,4729.16,5342.0,2.87,96.3
vanila_hole,8G,read,4k,20250809-071435,427.0,109000.0,7.18,255.0,52.36,46.69
iomap_v1_patch,8G,write,4k,20250812-182001,409.0,105000.0,7.94,12.0,83.92,14.92
iomap_v1_hole,8G,read,1M,20250809-101709,2312.0,2311.0,424.1,586.0,5.19,93.23
iomap_v1,8G,read,128k,20250808-205604,1076.0,8605.0,110.8,412.0,6.31,39.96
iomap_v1_patch,8G,write,10M,20250812-181857,2986.0,298.0,2804.37,3425.0,18.64,80.51
iomap_v1_patch,8G,write,100M,20250812-181917,1957.0,19.0,40249.09,43254.0,18.72,78.43
iomap_v1_hole,8G,read,10M,20250809-101738,1984.0,198.0,4980.88,6128.0,2.53,95.52
vanila_hole,8G,read,1G,20250809-071359,609.0,0.0,,1687000.0,0.3,98.63
iomap_v1_hole,8G,read,1M,20250809-101418,2409.0,2409.0,405.26,553.0,7.29,90.82
vanila,8G,write,4k,20250808-213552,241.0,61700.0,9.48,22.0,41.52,53.21
vanila_hole,8G,read,10M,20250809-071256,781.0,78.0,12754.97,23987.0,0.15,98.62
iomap_v1_patch,8G,write,4k,20250812-181958,434.0,111000.0,7.48,11.0,72.89,26.22
iomap_v1_hole,8G,read,1M,20250809-101401,2365.0,2364.0,411.69,537.0,9.49,88.43
iomap_v1_patchcold,8G,write,1M,20250812-181840,3894.0,3893.0,228.78,355.0,15.21,81.75
iomap_v1_hole,8G,read,1M,20250809-101424,2226.0,2226.0,440.65,562.0,6.74,91.52
vanila_hole,8G,read,10M,20250809-071243,716.0,71.0,13917.61,31851.0,0.14,98.6
iomap_v1_patch,8G,write,1G,20250812-181925,2554.0,2.0,,321000.0,18.7,79.8
vanila,8G,read,10M,20250808-212520,1045.0,104.0,9503.63,12125.0,1.23,94.05
iomap_v1_hole,8G,read,1M,20250809-101319,2169.0,2169.0,452.38,611.0,2.97,94.92
iomap_v1_hole,8G,read,100M,20250809-101746,1792.0,17.0,55456.78,81265.0,1.08,97.49
iomap_v1,8G,read,1M,20250808-205427,2844.0,2844.0,340.76,635.0,4.17,68.06
vanila_hole,8G,read,4k,20250809-071443,473.0,121000.0,6.89,247.0,43.48,55.45
iomap_v1_patch,8G,write,4k,20250812-181947,403.0,103000.0,8.08,13.0,82.23,16.43
vanila_hole,8G,read,100M,20250809-071330,773.0,7.0,129030.0,180000.0,0.0,98.84
vanila,8G,read,1G,20250808-212638,826.0,0.0,,1234000.0,0.48,95.8
vanila_hole,8G,read,10M,20250809-071249,714.0,71.0,13939.94,25822.0,0.35,98.11
iomap_v1_patch,8G,write,10M,20250812-181903,2822.0,282.0,2985.94,3589.0,21.15,78.02
iomap_v1_hole,8G,read,1M,20250809-101343,2404.0,2403.0,408.39,523.0,2.35,95.53
iomap_v1_hole,8G,read,1M,20250809-101308,2462.0,2461.0,398.42,537.0,8.67,88.19
iomap_v1_hole,8G,read,1G,20250809-101814,1346.0,1.0,,760000.0,0.39,97.9
vanila,8G,write,1M,20250808-213301,377.0,376.0,1213.24,1418.0,0.48,86.57
iomap_v1_hole,8G,read,1G,20250809-101810,1356.0,1.0,,751000.0,0.79,97.35
vanila_hole,8G,read,128k,20250809-071518,766.0,6131.0,160.12,445.0,3.9,95.13
vanila,8G,read,100M,20250808-212557,962.0,9.0,103680.0,148000.0,0.0,91.73
iomap_v1,8G,read,100M,20250808-205505,2967.0,29.0,33234.08,62129.0,1.79,87.2
iomap_v1_patch,8G,write,1G,20250812-181927,2592.0,2.0,,317000.0,18.99,80.0
iomap_v1_patch,8G,write,128k,20250812-182025,3048.0,24400.0,36.46,91.0,34.23,63.99
vanila,8G,write,128k,20250808-213654,345.0,2756.0,167.82,322.0,2.52,83.14
vanila,8G,read,1M,20250808-212445,894.0,894.0,1106.39,3032.0,1.31,81.99
iomap_v1_hole,8G,read,10M,20250809-101726,2107.0,210.0,4689.45,8455.0,1.24,96.89
vanila,8G,write,100M,20250808-213358,397.0,3.0,128050.00000000001,131000.0,2.14,73.33
iomap_v1_patch,8G,write,100M,20250813-103709,2277.0,22.0,31229.87,34341.0,17.43,74.07
iomap_v1_hole,8G,read,1M,20250809-101711,2504.0,2503.0,390.23,506.0,5.39,93.38
vanila,8G,read,4k,20250808-212727,390.0,99900.0,8.1,188.0,45.27,41.84
vanila_hole,8G,read,100M,20250809-071333,760.0,7.0,131110.0,182000.0,0.46,98.4
iomap_v1_hole,8G,read,1M,20250809-101317,2327.0,2327.0,421.01,594.0,3.86,93.64
vanila_hole,8G,read,4k,20250809-071427,494.0,126000.0,6.67,245.0,51.35,47.88
iomap_v1,8G,read,1G,20250808-205519,1969.0,1.0,,518000.0,0.38,93.27
vanila_hole,8G,read,100M,20250809-071311,635.0,6.0,157050.0,279000.0,0.38,98.22
iomap_v1_hole,8G,read,1G,20250809-101823,1278.0,1.0,,802000.0,1.12,97.0
iomap_v1_patch,8G,write,10M,20250813-103707,1403.0,140.0,3307.26,5473.0,8.72,49.46
vanila,8G,read,10M,20250808-212526,1022.0,102.0,9727.74,11994.0,1.0,94.99
iomap_v1,8G,read,1M,20250808-205424,2901.0,2900.0,330.03,586.0,4.83,70.17
vanila,8G,write,100M,20250808-213423,579.0,5.0,127958.46,129000.0,3.82,95.08
vanila,8G,write,100M,20250808-213407,358.0,3.0,126710.0,129000.0,2.51,84.25
vanila,8G,read,128k,20250808-212801,753.0,6027.0,161.72,469.0,5.37,73.88
iomap_v1_hole,8G,read,10M,20250809-101432,2116.0,211.0,4676.63,5080.0,0.62,97.1
vanila,8G,write,1M,20250808-213305,389.0,389.0,1211.66,1418.0,1.03,89.58
vanila,8G,read,100M,20250808-212612,1027.0,10.0,97020.0,120000.0,0.21,95.68
vanila,8G,write,100M,20250808-213355,524.0,5.0,128410.0,132000.0,3.25,92.81
iomap_v1_hole,8G,read,10M,20250809-101452,2052.0,205.0,4825.31,5932.0,0.6,96.78
